First Name,Last Name,Gender,Age,Email,Phone,Education,Salary
Henry,Gibson,Male,30,h.gibson@randatmail.com,527-6515-27,Primary,8717
Arnold,Andrews,Male,18,a.andrews@randatmail.com,895-2945-33,Doctoral,707
Adelaide,Mitchell,Female,28,a.mitchell@randatmail.com,494-5211-47,Primary,8479
Lana,Thompson,Female,26,l.thompson@randatmail.com,348-5921-35,Lower secondary,2838
Catherine,Morgan,Female,20,c.morgan@randatmail.com,975-3098-80,Lower secondary,1687
Garry,Reed,Male,28,g.reed@randatmail.com,593-5449-71,Master,5613
Victoria,Allen,Female,20,v.allen@randatmail.com,038-2496-88,Upper secondary,4805
Robert,Campbell,Male,23,r.campbell@randatmail.com,724-6925-57,Lower secondary,1972
Edith,Cunningham,Female,26,e.cunningham@randatmail.com,150-3857-44,Doctoral,7461
Nicole,Chapman,Female,23,n.chapman@randatmail.com,453-3745-95,Master,6911
Annabella,Miller,Female,25,a.miller@randatmail.com,513-7559-31,Upper secondary,3896
Jacob,Martin,Male,22,j.martin@randatmail.com,216-0320-92,Upper secondary,3203
Jenna,Fowler,Female,18,j.fowler@randatmail.com,975-4522-48,Doctoral,5306
Florrie,Hunt,Female,21,f.hunt@randatmail.com,242-4705-84,Upper secondary,9398
Carlos,Morris,Male,25,c.morris@randatmail.com,737-7996-66,Master,7472
Kelsey,Barrett,Female,22,k.barrett@randatmail.com,900-4027-52,Bachelor,6826
Annabella,Carroll,Female,29,a.carroll@randatmail.com,712-4363-15,Lower secondary,8118
Agata,Henderson,Female,30,a.henderson@randatmail.com,805-9601-75,Lower secondary,5665
Max,Johnston,Male,18,m.johnston@randatmail.com,792-8373-23,Upper secondary,1131
James,Hill,Male,23,j.hill@randatmail.com,340-5798-37,Bachelor,5929
Sawyer,Owens,Male,26,s.owens@randatmail.com,560-1404-30,Master,2610
Mike,Foster,Male,23,m.foster@randatmail.com,486-5309-37,Master,758
Violet,Spencer,Female,27,v.spencer@randatmail.com,612-5762-69,Bachelor,9792
Carlos,Cole,Male,20,c.cole@randatmail.com,744-9890-49,Doctoral,6269
Clark,Ellis,Male,22,c.ellis@randatmail.com,449-2118-26,Lower secondary,9557
Ellia,Howard,Female,20,e.howard@randatmail.com,058-3575-24,Upper secondary,6827
Kirsten,Wilson,Female,18,k.wilson@randatmail.com,237-2711-06,Primary,6772
Madaline,Payne,Female,30,m.payne@randatmail.com,072-2856-97,Lower secondary,1973
Freddie,Perry,Male,20,f.perry@randatmail.com,540-6381-95,Bachelor,1873
Julia,Williams,Female,26,j.williams@randatmail.com,021-7675-93,Doctoral,1235
Aiden,Barnes,Male,18,a.barnes@randatmail.com,119-3886-01,Lower secondary,4375
Jordan,Hill,Male,27,j.hill@randatmail.com,078-3663-18,Lower secondary,5363
Edith,Moore,Female,20,e.moore@randatmail.com,056-7030-98,Bachelor,6945
Sophia,Hall,Female,28,s.hall@randatmail.com,470-6790-49,Master,3337
Eddy,Harper,Male,24,e.harper@randatmail.com,909-6814-34,Master,1997
Lydia,Harper,Female,21,l.harper@randatmail.com,977-3302-77,Lower secondary,8070
Camila,Baker,Female,19,c.baker@randatmail.com,417-3562-56,Upper secondary,3735
Paige,Carroll,Female,21,p.carroll@randatmail.com,587-0378-26,Master,3040
Justin,Hawkins,Male,18,j.hawkins@randatmail.com,614-0574-17,Upper secondary,4360
Daryl,Miller,Male,27,d.miller@randatmail.com,382-0115-41,Lower secondary,8712
Adelaide,Nelson,Female,19,a.nelson@randatmail.com,484-8450-62,Lower secondary,5421
Preston,Harrison,Male,30,p.harrison@randatmail.com,025-2763-66,Master,3341
Evelyn,Kelley,Female,29,e.kelley@randatmail.com,756-5694-70,Bachelor,1036
David,Wells,Male,20,d.wells@randatmail.com,505-8697-84,Doctoral,5175
Lucy,Myers,Female,25,l.myers@randatmail.com,113-3835-98,Lower secondary,8292
Alexander,Harrison,Male,21,a.harrison@randatmail.com,272-7185-78,Master,793
Eleanor,Barrett,Female,23,e.barrett@randatmail.com,517-0941-66,Bachelor,4682
Wilson,Elliott,Male,28,w.elliott@randatmail.com,070-8625-27,Lower secondary,8371
Audrey,Dixon,Female,24,a.dixon@randatmail.com,843-3047-52,Lower secondary,778
Marcus,Thompson,Male,25,m.thompson@randatmail.com,640-8507-65,Bachelor,4883
Dainton,Bailey,Male,21,d.bailey@randatmail.com,439-9431-09,Doctoral,5045
Briony,Carroll,Female,23,b.carroll@randatmail.com,906-5010-61,Upper secondary,2817
Edwin,Murphy,Male,24,e.murphy@randatmail.com,209-2428-38,Doctoral,2445
Alen,Scott,Male,18,a.scott@randatmail.com,717-2256-70,Doctoral,6571
Walter,Cameron,Male,24,w.cameron@randatmail.com,246-5251-05,Bachelor,5181
James,Brooks,Male,19,j.brooks@randatmail.com,385-6891-42,Lower secondary,4583
Connie,Moore,Female,26,c.moore@randatmail.com,365-0244-48,Upper secondary,9882
Owen,Hawkins,Male,30,o.hawkins@randatmail.com,865-8389-12,Primary,9842
Vincent,Grant,Male,27,v.grant@randatmail.com,460-7548-76,Master,4844
Lyndon,Gray,Male,20,l.gray@randatmail.com,700-9901-27,Primary,8085
Ada,Robinson,Female,23,a.robinson@randatmail.com,505-3284-35,Master,7985
